MJD,Aether_x,Aether_y,Aether_z,Aether_vx,Aether_vy,Aether_vz,Caelus_x,Caelus_y,Caelus_z,Caelus_vx,Caelus_vy,Caelus_vz,Ventus_x,Ventus_y,Ventus_z,Ventus_vx,Ventus_vy,Ventus_vz,Glacia_x,Glacia_y,Glacia_z,Glacia_vx,Glacia_vy,Glacia_vz
61620.0,37131361.634174,28993709.411577,0.000000,-33.205518,43.604372,0.000000,119453571.680435,41965467.601435,0.000000,-11.542753,31.574114,0.000000,204403847.558689,120228928.150160,0.000000,-14.002800,20.272520,0.000000,-36224801.172434,-398062937.891559,0.000000,18.736729,-2.710021,0.000000
61625.0,18876591.285549,43561224.169312,0.000000,-49.505543,22.531546,0.000000,113712510.125934,55307483.629698,0.000000,-15.010013,30.127482,0.000000,198156764.732477,128866248.572132,0.000000,-14.915637,19.707631,0.000000,-28123717.336839,-399152654.572759,0.000000,18.767002,-2.334996,0.000000
61630.0,-3892816.260895,47772363.406335,0.000000,-53.775510,-3.302918,0.000000,106511093.201509,67939098.502309,0.000000,-18.295595,28.288616,0.000000,191519710.390212,137249920.664497,0.000000,-15.807824,19.098296,0.000000,-20011220.463191,-400080414.635019,0.000000,18.789574,-1.960250,0.000000
61635.0,-25786518.116880,40921573.353921,0.000000,-45.646830,-27.685039,0.000000,97938063.631793,79695736.939369,0.000000,-21.352484,26.081133,0.000000,184502125.449541,145360849.552971,0.000000,-16.676949,18.445030,0.000000,-11890628.824850,-400846373.904948,0.000000,18.804485,-1.585945,0.000000
61640.0,-41882738.375951,24831463.861493,0.000000,-27.515644,-45.331017,0.000000,88101788.691944,90424385.533443,0.000000,-24.137004,23.534867,0.000000,177114496.834456,153180195.434568,0.000000,-17.520583,17.748498,0.000000,-3765242.438947,-401450758.133867,0.000000,18.811779,-1.212244,0.000000
61645.0,-48719789.405617,3237617.752376,0.000000,-3.577544,-52.755937,0.000000,77128609.452368,99986163.892134,0.000000,-26.609768,20.685308,0.000000,169368363.583125,160689439.509593,0.000000,-18.336286,17.009523,0.000000,4361658.430322,-401893861.994087,0.000000,18.811504,-0.839303,0.000000
61650.0,-44866274.432702,-19068223.454336,0.000000,21.103558,-48.576208,0.000000,65160805.393683,108258620.026781,0.000000,-28.736502,17.572889,0.000000,161276318.276839,167870452.278574,0.000000,-19.121623,16.229086,0.000000,12486814.720561,-402176048.045975,0.000000,18.803711,-0.467280,0.000000
61655.0,-31126138.592972,-37162149.803297,0.000000,41.361979,-33.564741,0.000000,52354230.578687,115137683.359242,0.000000,-30.488734,14.242125,0.000000,152852003.410973,174705563.850600,0.000000,-19.874170,15.408334,0.000000,20606989.971972,-402297745.677996,0.000000,18.788453,-0.096326,0.000000
61660.0,-10425714.905734,-46916940.674427,0.000000,52.669019,-10.624846,0.000000,38875690.641560,120539222.563978,0.000000,-31.844304,10.740644,0.000000,144110102.353705,181177635.854221,0.000000,-20.591533,14.548581,0.000000,28718971.679964,-402259450.021875,0.000000,18.765788,0.273405,0.000000
61665.0,12645315.181999,-45889549.551988,0.000000,52.015047,15.412331,0.000000,24900138.980367,124400172.061301,0.000000,-32.787689,7.118171,0.000000,135066324.571319,187270134.487611,0.000000,-21.271359,13.651311,0.000000,36819572.599521,-402061720.844970,0.000000,18.735775,0.641767,0.000000
61670.0,32705127.400000,-34030817.152464,0.000000,38.901249,38.464904,0.000000,10607775.146256,126679209.081500,0.000000,-33.310131,3.425469,0.000000,125737384.840266,192967204.192443,0.000000,-21.911349,12.718181,0.000000,44905632.001388,-401705181.421949,0.000000,18.698477,1.008614,0.000000
61675.0,44835966.407242,-13950427.831994,0.000000,16.029385,52.596704,0.000000,-3818871.635926,127356981.487324,0.000000,-33.409577,-0.286678,0.000000,116140976.216014,198253741.387132,0.000000,-22.509276,11.751016,0.000000,52974016.880203,-401190517.387776,0.000000,18.653959,1.373802,0.000000
61680.0,45952287.194825,9548266.657134,0.000000,-10.976412,53.904502,0.000000,-18197795.333461,126435903.689477,0.000000,-33.090449,-3.968437,0.000000,106295736.586743,203115467.651244,0.000000,-23.062996,10.751810,0.000000,61021623.114794,-400518475.573998,0.000000,18.602291,1.737191,0.000000
61685.0,35765826.700158,30704280.073669,0.000000,-35.144203,42.016739,0.000000,-32350232.089401,123939552.921782,0.000000,-32.363261,-7.571802,0.000000,96221208.705728,207539001.715320,0.000000,-23.570464,9.722722,0.000000,69045376.580924,-399689862.830248,0.000000,18.543542,2.098645,0.000000
61690.0,16879944.214446,44415838.233032,0.000000,-50.434355,20.246317,0.000000,-46103186.133566,119911710.052261,0.000000,-31.244110,-11.051361,0.000000,85937793.669231,211511929.580562,0.000000,-24.029755,8.666070,0.000000,77042234.216852,-398705544.832862,0.000000,18.477786,2.458027,0.000000
61695.0,-6036494.450083,47592281.068017,0.000000,-53.524920,-5.709902,0.000000,-59291716.335334,114415097.525441,0.000000,-29.754084,-14.364929,0.000000,75466697.885701,215022872.072138,0.000000,-24.439069,7.584325,0.000000,85009185.042132,-397566444.882418,0.000000,18.405097,2.815206,0.000000
61700.0,-27584199.505003,39775758.504871,0.000000,-44.335751,-29.667446,0.000000,-71760950.785744,107529871.833818,0.000000,-27.918598,-17.474048,0.000000,64829873.666054,218061549.119450,0.000000,-24.796753,6.480103,0.000000,92943251.130156,-396273542.691980,0.000000,18.325554,3.170053,0.000000
61705.0,-42941324.652836,22997177.668836,0.000000,-25.472003,-46.483351,0.000000,-83367810.266069,99351929.282147,0.000000,-25.766718,-20.344357,0.000000,54049953.652166,220618840.057681,0.000000,-25.101314,5.356155,0.000000,100841488.534985,-394827873.167753,0.000000,18.239237,3.522441,0.000000
